MPIO_CCNCT,Dist_EDU,Dist_HEALTH,Dist_SPORT,Pop
11001,#N/A,12.549,13.411,7166249
76001,7.005,6.697,7.318,1781388
05001,6.502,6.242,6.788,2332487
73001,5.655,5.290,5.790,469251
66001,5.539,5.377,6.005,337149
47001,5.427,5.193,8.499,439052
13001,5.089,5.386,5.440,801100
08001,4.989,5.175,5.345,1119367
54001,4.954,4.827,5.397,607236
19001,4.633,4.546,5.179,230298
41001,4.421,4.223,4.883,294905
68001,4.200,3.616,4.981,519111
63001,4.180,3.978,3.553,268445
50001,4.099,4.234,4.275,419657
05088,3.919,3.655,3.851,461138
17001,3.812,3.656,3.957,375432
20001,3.800,3.605,4.208,401588
23001,3.718,3.256,3.855,355317
25754,3.623,4.077,4.115,640143
08758,3.523,3.578,3.655,535131
68081,3.235,2.802,3.678,175631
15001,3.082,2.820,3.693,160661
54874,2.974,3.088,3.311,91193
76109,2.954,2.452,3.024,214833
68276,2.942,2.737,3.061,264478
76520,2.940,2.741,3.534,237162
54405,2.934,2.557,3.522,78789
52001,2.921,2.869,3.311,274200
13430,2.844,2.341,2.799,88193
70001,2.837,2.601,3.105,248033
05360,2.680,2.505,2.971,236688
18001,2.658,2.873,3.616,139843
76147,2.648,2.989,3.328,115979
81794,2.642,2.730,53.820,25743
44001,2.609,2.381,2.704,121417
76892,2.593,2.790,1.772,84567
66170,2.574,2.308,2.841,184278
15759,2.551,2.029,2.754,106794
81001,2.543,2.018,3.036,65986
73349,2.499,2.401,2.407,22949
25290,2.418,2.349,2.647,113216
25175,2.418,2.477,2.055,104527
17380,2.383,2.409,2.473,61964
25307,2.337,2.495,2.479,88074
20011,2.319,2.045,2.171,84218
44430,2.307,2.158,29.063,96897
54498,2.306,2.226,2.104,100104
68547,2.261,2.111,2.403,128019
27001,2.231,2.206,2.251,108450
05266,2.202,1.999,2.043,202733
85001,2.178,2.403,2.498,133345
52356,2.157,2.302,2.425,70949
05615,2.096,2.201,2.605,77463
76834,2.094,2.284,2.228,155925
25269,2.073,2.186,2.157,123797
73449,2.072,1.561,1.903,28037
70221,2.072,9.148,1.571,10115
88001,2.026,2.301,1.978,30068
41551,2.009,1.789,2.607,72275
08433,1.982,2.594,2.163,112799
15238,1.955,1.975,1.981,104063
97001,1.933,1.247,1.563,9358
76111,1.932,1.930,2.217,101098
23660,1.929,1.575,1.490,52028
23162,1.926,1.698,2.783,57093
50006,1.914,1.495,2.061,60044
05154,1.890,1.881,2.179,74332
05045,1.856,1.534,2.202,91811
23417,1.809,1.271,11.267,49577
05212,1.803,1.590,2.081,62230
81736,1.793,1.517,1.770,40326
68307,1.792,2.502,2.173,131821
05250,1.761,2.022,1.959,29588
63130,1.736,1.455,1.595,55100
50313,1.712,1.551,2.103,54755
23807,1.702,1.615,2.292,41460
91001,1.697,1.696,1.970,32220
86568,1.661,1.448,1.809,35032
47288,1.654,1.797,2.051,55422
99001,1.636,1.315,1.656,14015
76364,1.632,1.527,1.579,101730
47245,1.620,1.514,1.479,38233
47189,1.609,1.520,1.936,104722
05604,1.603,1.247,1.968,11122
70708,1.572,1.297,4.594,32002
73268,1.567,1.285,1.915,49840
66682,1.546,8.401,1.732,60772
25899,1.546,1.384,1.928,106083
73168,1.536,1.122,1.467,27862
25743,1.534,1.068,1.988,6822
25430,1.530,1.530,1.815,100746
13052,1.520,1.228,1.738,53817
41298,1.520,1.162,1.514,36768
44279,1.520,1.518,6.360,34973
23574,1.506,35.236,28.007,3811
86320,1.475,1.876,6.880,17763
50689,1.471,1.426,1.355,16828
44078,1.470,1.194,1.398,15675
20013,1.470,1.295,1.618,48030
95001,1.465,1.433,23.816,34086
25473,1.462,1.783,1.878,126858
73275,1.458,1.143,2.805,23980
47555,1.458,1.197,1.426,43179
13468,1.457,1.546,1.807,22312
15176,1.446,1.329,1.689,46676
23068,1.444,1.087,1.431,24482
05579,1.414,0.915,1.131,31441
54518,1.412,1.313,1.748,41680
13836,1.408,1.613,0.526,92046
05284,1.406,1.219,1.010,8087
19698,1.406,1.183,1.950,47754
08638,1.398,1.345,11.358,69030
25612,1.389,1.396,1.484,5936
54810,1.377,1.054,1.191,19036
23466,1.373,1.841,14.191,55906
68679,1.372,1.345,1.855,48331
05736,1.364,1.669,1.401,27590
05129,1.358,0.946,1.577,61504
25286,1.355,1.215,1.330,88598
66400,1.355,1.076,1.165,25381
20060,1.355,1.127,1.623,35478
05631,1.345,1.264,1.152,70108
70400,1.344,0.957,1.170,5500
05376,1.335,0.944,1.312,51715
13244,1.334,15.008,1.598,49990
73443,1.327,1.204,1.376,27455
19548,1.325,1.222,1.644,12571
05837,1.315,1.365,1.498,45673
68655,1.315,1.292,1.230,18723
86001,1.304,1.176,1.350,35456
13650,1.302,1.104,17.315,1874
44650,1.302,1.324,16.221,29829
08573,1.290,1.538,1.023,41975
15572,1.285,1.543,1.276,31991
20238,1.277,1.027,23.068,22300
20570,1.277,0.925,1.066,8326
70713,1.275,1.192,39.110,18998
05380,1.275,1.056,1.577,58213
52835,1.275,1.177,1.143,76053
94001,1.274,1.381,1.968,19326
85440,1.274,1.169,0.962,24848
25386,1.271,1.030,1.456,16502
76736,1.266,1.146,15.204,28457
25320,1.259,1.007,1.579,12375
05101,1.258,1.934,1.319,14762
23300,1.253,21.042,1.132,5519
50573,1.237,1.032,1.366,18154
20228,1.229,1.065,1.214,24844
15516,1.228,0.862,1.608,19347
47053,1.226,1.790,8.720,22620
85250,1.223,1.248,1.306,24210
05847,1.214,0.979,1.358,15598
41396,1.209,1.270,1.209,24366
27361,1.201,1.047,1.426,20925
68575,1.200,1.141,0.969,16058
13657,1.195,0.924,1.112,26438
13442,1.194,1.221,25.558,20191
25126,1.191,0.970,1.303,53611
08078,1.188,1.106,1.249,51287
73408,1.183,1.098,1.107,13459
44560,1.177,1.042,1.065,8032
70820,1.162,0.910,18.603,25999
23182,1.161,1.318,1.196,20056
20400,1.155,1.293,41.177,28560
19455,1.143,8.731,2.014,17871
05607,1.136,0.662,0.874,12193
25402,1.131,0.734,1.126,5434
76248,1.130,1.222,1.308,34618
19573,1.129,1.240,1.618,35694
73411,1.121,0.982,1.714,22325
25513,1.118,16.871,1.116,12521
44874,1.117,7.393,1.257,23909
47551,1.117,1.234,1.120,20393
25843,1.116,0.970,1.277,29980
76113,1.115,0.959,1.000,11520
27615,1.112,#N/A,1.345,12772
73319,1.111,0.824,7.747,16350
05172,1.105,1.459,1.212,46545
05234,1.091,0.782,33.585,8877
25035,1.089,14.296,1.084,5423
08520,1.088,0.922,2.828,26236
76036,1.088,0.859,1.537,14416
23672,1.088,17.320,1.186,14954
85162,1.087,42.119,1.053,10909
76622,1.087,1.046,1.084,23769
23855,1.082,1.122,12.679,14428
85410,1.075,0.939,1.206,14101
70742,1.065,1.092,0.833,22487
20621,1.063,0.987,1.089,18740
17174,1.063,1.159,1.482,43206
85139,1.059,0.859,1.214,9808
76400,1.055,0.872,1.099,24441
25001,1.053,0.867,1.301,8609
68077,1.053,0.908,1.055,22506
17614,1.052,1.103,1.974,17465
70215,1.052,1.229,1.422,51104
99524,1.048,0.707,0.792,5369
44847,1.047,1.000,77.513,7409
54172,1.043,1.097,1.103,10799
25572,1.043,0.514,0.843,11078
17042,1.040,1.405,1.147,18609
18247,1.039,0.906,1.310,12474
08137,1.039,0.937,12.714,19949
47058,1.038,1.279,18.164,18962
15469,1.037,0.957,1.254,11083
54261,1.030,1.233,0.997,16115
47720,1.027,0.765,38.590,5908
41132,1.027,0.914,0.987,23435
73148,1.026,0.864,1.061,7550
76563,1.025,1.091,1.219,38484
23555,1.022,1.035,0.861,40411
20178,1.021,0.848,0.771,16423
13654,1.020,1.185,0.923,20618
23189,1.007,0.941,1.221,22446
05148,1.007,1.071,1.193,32937
81300,1.003,0.829,25.269,9271
05642,1.000,0.717,27.719,5862
05147,0.996,0.773,8.846,31636
13433,0.995,0.866,0.865,10267
70678,0.993,0.846,29.485,5888
76122,0.993,0.863,0.971,21756
44378,0.992,1.104,1.234,11169
25245,0.990,0.754,0.924,10168
70508,0.989,22.509,0.909,11406
20710,0.988,0.850,1.518,18435
25214,0.988,7.248,0.808,20215
08296,0.984,1.012,1.191,52214
73585,0.979,1.025,1.187,12820
18592,0.974,32.120,0.950,14280
76275,0.973,0.914,1.198,37801
70670,0.967,0.796,0.940,23440
76895,0.966,1.046,1.132,29759
97666,0.964,0.810,0.964,826
23686,0.957,9.648,1.200,8605
17777,0.950,0.688,1.330,12861
17873,0.950,0.710,1.151,54440
05665,0.949,1.115,0.792,12474
13647,0.946,1.050,14.374,11332
25875,0.941,0.958,0.912,17751
15897,0.941,15.310,0.941,1087
50606,0.937,0.819,0.949,12124
08685,0.935,1.053,1.253,27433
63470,0.934,0.880,0.732,29741
20550,0.933,0.728,0.740,12929
19318,0.930,0.779,#N/A,13768
08634,0.928,0.768,3.754,30607
05756,0.927,0.889,0.718,15983
05895,0.926,0.936,0.873,11095
13140,0.926,0.968,0.877,12699
25815,0.916,1.088,1.082,8730
41668,0.916,0.770,1.210,10831
50226,0.913,0.768,0.962,14382
05686,0.912,0.747,0.883,16941
23570,0.910,14.349,0.820,8857
54003,0.908,0.833,0.958,15419
63594,0.904,0.835,0.771,23877
13222,0.904,0.578,0.740,11709
05440,0.900,0.862,1.160,40826
68147,0.899,0.731,0.843,3363
68755,0.897,0.821,0.826,24238
86885,0.897,0.750,0.849,12834
20175,0.896,0.717,0.945,12703
05042,0.896,0.999,0.965,15528
20045,0.889,1.249,35.663,15736
08436,0.889,0.663,1.407,17404
41306,0.888,0.822,1.078,9402
23815,0.885,5.807,0.176,6908
63190,0.884,0.770,2.080,20495
73030,0.882,0.841,19.180,5223
52838,0.878,0.940,1.067,17108
05040,0.876,0.570,0.714,7045
85230,0.864,101.942,0.830,5237
63401,0.864,12.504,3.543,29595
19807,0.862,0.819,1.031,13446
76233,0.860,0.691,0.859,10067
52399,0.860,0.915,0.884,11499
81065,0.860,0.969,0.882,13210
23580,0.857,0.615,11.615,11670
13688,0.857,0.516,0.860,16928
50110,0.857,7.655,0.557,4383
19532,0.856,0.679,0.668,11892
15407,0.855,1.217,0.798,7884
86749,0.853,0.737,0.937,9913
17653,0.852,0.746,1.327,10694
23675,0.847,20.634,1.551,8624
76041,0.844,7.715,0.745,9958
08675,0.843,0.697,0.682,10948
05697,0.842,0.659,0.803,23258
19845,0.842,7.232,0.773,13728
13620,0.841,0.661,4.498,5715
08606,0.840,0.701,0.753,17560
05790,0.840,0.829,1.011,12605
68432,0.840,0.629,0.985,17150
86573,0.829,0.802,0.484,10624
85125,0.828,41.532,0.909,4971
05761,0.827,0.610,0.692,6459
25758,0.823,0.816,0.254,17213
05887,0.823,16.255,0.885,26783
70717,0.820,14.895,21.275,12181
17433,0.818,15.018,0.923,9309
19473,0.816,0.646,0.752,2200
50711,0.810,0.760,0.888,7195
20032,0.810,0.654,0.847,9313
47170,0.809,0.979,0.865,12121
50577,0.809,0.662,0.808,3863
52585,0.806,0.824,0.766,5498
19450,0.805,0.666,0.611,5669
05368,0.804,0.684,0.801,7003
73055,0.804,0.650,0.780,8090
70235,0.803,0.896,16.552,11891
05031,0.800,0.664,0.875,11685
86865,0.799,0.717,10.172,13447
25878,0.797,1.119,0.536,4273
18150,0.797,0.806,0.710,15200
47318,0.794,17.498,0.635,8212
73861,0.793,0.574,1.115,8547
05308,0.792,0.786,0.879,28163
08770,0.791,0.718,10.730,11175
20443,0.789,0.734,17.271,8083
85430,0.785,0.589,0.522,6764
50350,0.784,0.585,0.906,4130
70473,0.783,6.249,0.790,8975
13838,0.779,1.363,15.426,12028
17013,0.779,0.741,0.989,10430
41016,0.778,1.330,15.858,10018
13188,0.777,0.672,10.111,8676
47258,0.776,0.493,0.878,6198
41013,0.775,0.947,0.808,5625
50683,0.773,0.835,0.736,4066
47030,0.772,0.788,1.642,9546
05051,0.770,0.720,0.858,9623
52260,0.770,0.792,9.876,4797
27205,0.769,0.615,0.630,9534
13670,0.766,0.813,0.737,18853
05034,0.766,0.765,1.131,19183
23079,0.764,21.871,0.800,7370
13894,0.764,0.751,0.779,10278
50287,0.761,0.788,0.657,6698
15322,0.760,0.937,0.871,6531
99624,0.758,0.805,0.894,2362
19743,0.758,15.496,15.496,4410
76020,0.756,0.829,0.664,9543
23464,0.756,15.638,0.666,10794
27787,0.755,0.727,0.703,9983
25295,0.754,0.880,0.675,11174
41615,0.744,0.650,0.913,11494
68689,0.743,0.628,35.055,10988
08560,0.742,0.684,1.030,13527
52110,0.742,23.337,0.854,5842
13873,0.742,0.605,11.726,18580
85010,0.742,0.730,0.787,24416
20787,0.740,0.608,0.736,5957
68406,0.740,0.633,0.964,19502
73624,0.739,24.612,0.662,10051
20250,0.739,0.678,33.802,6533
19212,0.737,0.717,0.754,12564
41349,0.737,0.855,0.986,5255
