u_dpto,u_mpio,cod_mpio,hacinamiento,sin_cocina,sin_agua_cocina
05,001,05001,.055033751,.070744656,.023782598
05,002,05002,.059467919,.048904538,.02903739
05,004,05004,.05050505,.067340069,.034482758
05,021,05021,.04884005,.075702079,.01242236
05,030,05030,.054413825,.064719625,.04825291
05,031,05031,.06405694,.094027951,.026389956
05,034,05034,.062050216,.090865463,.051277902
05,036,05036,.069405101,.14447592,.044052862
05,038,05038,.070847854,.13821138,.055489965
05,040,05040,.10651408,.11140466,.1091154
05,042,05042,.10672076,.13708539,.0070169126
05,044,05044,.10107527,.14623655,.011111111
05,045,05045,.15104343,.31158632,.032800645
05,051,05051,.15490647,.28543308,.050898202
05,055,05055,.063055061,.060390763,.12522686
05,059,05059,.023608768,.062711865,.0034782609
05,079,05079,.048895027,.078910999,.09450458
05,086,05086,.085148513,.045544554,.028282829
05,088,05088,.056222104,.087130532,.066419452
05,091,05091,.082251079,.10476191,.0090252711
05,093,05093,.090717301,.090781137,.043602575
05,101,05101,.072202168,.19803371,.042195823
05,107,05107,.10520362,.17081448,.11177885
05,113,05113,.18237083,.23896499,.014218009
05,120,05120,.23636363,.18181819,.094945356
05,125,05125,.10740741,.12825279,.037807185
05,129,05129,.044517934,.17993996,.16096486
05,134,05134,.083333336,.054292928,.014066496
05,138,05138,.078773305,.12868311,.21593674
05,142,05142,.054450262,.041884817,.054852322
05,145,05145,.062585033,.03809524,.0082987556
05,147,05147,.15290123,.15294705,.056992725
05,148,05148,.052248802,.074935399,.0072247377
05,150,05150,.062124249,.081243731,.0030549897
05,154,05154,.18097647,.46194866,.079610296
05,172,05172,.14052583,.18402511,.089749016
05,190,05190,.056011416,.32952926,.33272991
05,197,05197,.076208182,.12546468,.096774191
05,206,05206,.056060605,.063636363,.026153846
05,209,05209,.068282828,.097373739,.032138441
05,212,05212,.038174681,.094481237,.057370558
05,234,05234,.12238494,.085863873,.054823782
05,237,05237,.046361186,.021563342,.0032617559
05,240,05240,.044594593,.072874494,.091794156
05,250,05250,.19937016,.17272286,.10904157
05,264,05264,.045508273,.12056737,.14285715
05,266,05266,.018414699,.048120938,.016828699
05,282,05282,.059343901,.048286032,.043151971
05,284,05284,.071480148,.09031792,.029713867
05,306,05306,.10518292,.088414632,.10371517
05,308,05308,.036893647,.089987472,.019673264
05,310,05310,.051217988,.041848846,.016487001
05,313,05313,.1008,.022435898,.053398058
05,315,05315,.095926411,.10394737,.022576362
05,318,05318,.042670589,.065709554,.023698451
05,321,05321,.039400667,.31908989,.0044868202
05,347,05347,.068421051,.054018445,.19485791
05,353,05353,.058970101,.20448878,.019624574
05,360,05360,.044077531,.064121142,.010527978
05,361,05361,.10222433,.076668248,.058289535
05,364,05364,.044688359,.041568626,.0059101656
05,368,05368,.048096191,.10995185,.055578426
05,376,05376,.044424701,.13261808,.0032867177
05,380,05380,.044132721,.077441983,.23941749
05,390,05390,.15937102,.24797958,.024314765
05,400,05400,.061812468,.19696176,.0018479408
05,411,05411,.047013976,.16899619,.011583012
05,425,05425,.076699026,.16407767,.035467979
05,440,05440,.063649744,.2171929,.010281999
05,467,05467,.06122449,.14150943,.015923567
05,475,05475,.083333336,.14430894,.97356826
