u_dpto,u_mpio,cod_mpio,poor_estr1,poor_estr2,poor_estr3,poor_estr4,poor_estr5,poor_estr6,poor_cl1,poor_cl2,poor_cl3,poor_cl4,poor_cl5,poor_cl6,exclusion,inclusion,exclusion_cl,inclusion_cl,cl_intraurbano,mpi,contr_cond_educativas,contr_cond_niñezyjuv,contr_trabajo,contr_salud,contr_cond_vivienda
05,001,05001,38.473396,28.971365,19.484474,11.286041,9.5666962,5.8940897,53.654617,36.459446,32.629772,23.61615,16.221279,8.9127827,1.624171,60.969597,41.766438,25.519144,4.0161953,.079768889,33.28138,3.735558,52.926506,6.9353251,3.1212265
05,002,05002,57.373375,39.777981,17.941177,0,0,0,76.08696,60.410095,43.566071,47.452694,21.6763,31.226767,0,63.32547,43.075119,24.413147,3.8378572,.15277649,39.021671,2.7926624,51.37365,4.3472915,2.4647255
05,004,05004,40.243904,22.241993,29.090908,0,16.666668,0,31.012657,34.666668,4.166667,29.411766,12.307693,21.854305,.33898306,77.288132,49.494949,23.569023,3.6949153,.084194914,32.712631,3.2712631,52.34021,8.3878546,3.2880392
05,021,05021,39.4636,37.35667,16.666668,33.333336,0,0,82.051285,46.666668,38.348625,29.805014,33.333336,29.08012,.12254903,68.872543,36.507938,35.775337,4.0600548,.11172885,37.828812,2.9725547,54.849743,2.850395,1.4984933
05,030,05030,51.597054,38.479721,24.818579,26.666668,33.333336,0,64.041992,50.423134,44.404331,40.112991,39.478672,30.99449,.046783626,67.064323,68.379257,8.7342367,4.5306625,.13453561,35.466293,2.9200773,51.348526,8.7199945,1.5451118
05,031,05031,58.961956,41.862347,35.159161,0,0,0,76.6129,63.636364,58.63636,50.730495,45.715946,31.926262,0,62.675159,73.843414,4.4738183,4.7962852,.15113693,37.624111,2.6094513,53.212227,2.9095523,3.6446571
05,034,05034,53.654594,37.682178,24.14806,37.5,0,0,92.85714,74.056602,64.10257,60.892002,45.022678,28.849665,.096633919,66.532448,78.970093,.95953941,5.1535611,.14992535,35.765789,2.856616,47.734436,9.7777777,3.8653758
05,036,05036,57.909603,35.905045,20.703125,0,0,0,47.750866,45.238094,33.011581,5.1724138,35.413151,29.069767,0,68.980171,29.320112,39.518414,3.1123023,.13197041,37.945305,2.5335548,49.394653,5.9954348,4.1310482
05,038,05038,62.888199,44.984074,29.268291,0,0,0,80.239525,56.997456,46.787708,41.254753,37.837837,34.229832,0,60.651924,36.120789,28.222996,3.5604069,.16813906,34.565346,3.3531666,50.524403,7.7148042,3.8422749
05,040,05040,69.257774,48.116947,37.280701,0,0,0,85,79.800499,62.695225,44.724411,32.425743,42.635658,0,56.997795,48.151409,16.725353,3.6417289,.19514933,35.135616,4.3707967,46.62183,5.1213374,8.7504234
