u_dpto,u_mpio,cod_mpio,mujeres,edad_60mas,jh_mujer,jh_noeducado,etnia,discapacidad,madre_soltera,hijos_pormujer,depend_demogr,migr1,migr2,migr3,hijos_exterior,problema_salud,barreras_salud,atencion_salud,poblacion,analf_15mas,analf_15a24,inasistencia_5a14,inasistencia_5a19,inasistencia_15a24,inasistencia_etn_5a14,inasistencia_disc_5a14,con_sup,con_sup_muj,con_sup_etn,con_sup_disc,ocupados,desocupados,pet,pea,no_remu,jub_60mas,pea_con_sup,pea_analf,nini,trab_inf,estrato_bajo,estrato_medio,estrato_alto
05,001,05001,.53047884,.15407032,.49720764,.68679368,.026620921,.063274272,.35021985,2.6356852,.49510473,.40211517,.074591368,.023766199,.3596161,.10056306,.17750473,.018889507,2332487,.023119241,.0096086347,.079037473,.16942562,.50685728,.075946443,.14231981,.47243142,.49162745,.48547259,.34724137,.50188845,.062518202,.82903957,.60312599,.16549629,.32677311,.37447783,.011213399,.2356891,.0056741824,.51111627,.38791224,.10097151
05,002,05002,.5245077,.22710939,.45859376,.86322069,.0082921153,.13446833,.30083179,3.3006928,.61634254,.26472726,.10643185,.035015449,.78168362,.15467678,.13333334,.0087912092,6957,.087632507,.018115941,.026815642,.15867656,.55820346,.14285715,.074626863,.29677674,.33877841,.42424244,.17314488,.44168448,.015804598,.82291216,.49694684,.25481164,.1205298,.18698011,.061799783,.24080883,.011741683,.95080078,.04919925,0
05,004,05004,.47740114,.18079096,.36026937,.77854669,.034383953,.14689265,.2292683,3.4048781,.46477732,.32521489,.1595092,.076700434,.22439024,.09142857,.23333333,0,708,.040707964,.03875969,.022222223,.1746988,.50387597,0,0,.35240963,.38121548,.38461539,.25,.47564936,.017730497,.80367231,.53546101,.22077923,.15748031,.26578072,.023178808,.20930232,.01923077,.91242939,.077683613,.0098870052
05,021,05021,.53047407,.20180587,.46107057,.80665022,.0049999999,.072207086,.27071825,3.378453,.60696024,.41727272,.11838913,.035103925,.066298343,.051141553,.1891892,.011111111,2215,.062247839,.01904762,.039274924,.11462451,.48888889,,0,.40597758,.45415777,.77777779,.35416666,.47999999,.015330189,.78916478,.54599059,.23253334,.065533981,.24675325,.043290045,.1687898,0,.87874657,.12125341,0
05,030,05030,.52225292,.14372315,.37820813,.84979957,.0094775772,.10550317,.32281491,2.7034812,.5095818,.48674271,.10439153,.034907438,.36472946,.13426931,.20497271,.013729977,13032,.052166559,.014550265,.12539783,.23335855,.60231835,0,.06818182,.31649539,.34095299,.56756759,.20652173,.46030346,.050452165,.82044196,.54688245,.2324453,.24295969,.2238884,.031342503,.29406515,.0036101083,.94504559,.054490648,.00046375018
05,031,05031,.53016686,.12657253,.51382899,.84238988,.0076803588,.084462084,.33826458,3.1997156,.58363241,.38165501,.093329623,.025643285,.25789922,.12314114,.11150568,.017585931,11685,.075397275,.014285714,.043456543,.16030534,.57616824,0,.08510638,.29954118,.33524027,.66666669,.1722365,.43731388,.044100668,.76611042,.53521127,.25413287,.065266319,.19550173,.049180329,.29293403,.0046425257,.69605726,.30290744,.001035286
05,034,05034,.49319711,.1559193,.414377,.84318179,.010684332,.10862479,.31439531,2.8792694,.53517818,.34610453,.091878831,.034151006,.30354533,.11854408,.31563276,.017403916,19183,.065257594,.01570845,.063681185,.17760123,.56128818,0,.12426036,.31215101,.34482759,.60000002,.1854714,.47484457,.03836729,.81968409,.5568158,.22072679,.091572419,.20090806,.050044008,.28161108,.0030303029,.90115476,.097905964,.0009392784
05,036,05036,.50050604,.17105263,.417256,.85877317,.0065922919,.19622834,.29508197,2.8459017,.52125204,.43074581,.14664502,.059308924,.52950817,.2507661,.11247443,.0023041475,1976,.06654229,.011904762,.047244094,.17511521,.56845236,0,.041666668,.30247718,.3776722,.60000002,.25899279,.4851312,.021451104,.81629556,.5451104,.23906706,.203125,.18277067,.048611112,.26268658,.015384615,.86901122,.13098879,0
05,038,05038,.52300549,.16504854,.46828142,.82105261,.013180272,.18953145,.36514524,3.131397,.57585585,.32937181,.1461331,.05839416,.8284924,.17679559,.2345679,0,2369,.067494601,.010309278,.037333332,.16013628,.54123712,0,.12820514,.30952382,.33514494,.61904764,.19018404,.4237701,.046764545,.78851837,.51984775,.27423283,.067708336,.23874345,.050209206,.250646,0,.80751371,.19164205,.00084423809
05,040,05040,.51710433,.095670685,.44144535,.86003524,.017431062,.10695492,.31368729,3.4571567,.6254288,.36929223,.14314674,.0582496,.078421824,.1104751,.20435968,.015410959,7045,.091905899,.025787966,.050390348,.1875293,.63127691,0,.12359551,.23665048,.26353276,.46031746,.10600707,.44504917,.034643438,.7169624,.54659641,.24877107,.024232633,.16295472,.073758341,.29576454,.010526316,.86900866,.13056464,.00042668183
05,042,05042,.51796752,.14541474,.53042561,.7889564,.049811419,.06571541,.3562701,2.8290122,.50174046,.38005847,.13754751,.049652033,.29560557,.13177015,.089529589,.012222222,15528,.059014529,.0074990625,.054132432,.13814995,.51891476,.046296295,.14814815,.34937689,.37822786,.36389685,.16,.4867959,.063075893,.80351621,.59700119,.18355976,.14460784,.23995504,.032552265,.24396783,.0034364262,.84382772,.14929965,.0068726274
05,044,05044,.50254238,.19322033,.58064514,.81057268,.0025662959,.15508474,.3278237,3.8347108,.50695163,.33047944,.11343013,.025086505,.096685082,.051502146,.050847456,0,1180,.11368421,.015789473,.026666667,.18604651,.56842107,,0,.28985506,.27659574,1,.12,.47698334,.032908704,.81694913,.54989386,.24485798,.1036036,.21235521,.061776061,.21052632,0,.73898304,.26101694,0
05,045,05045,.51582056,.077060483,.40174496,.77342594,.35692802,.074762076,.35528368,2.960459,.54106456,.49894056,.12895267,.0436593,.23929128,.12607148,.26768136,.024393279,91811,.047229994,.010541071,.05848274,.15398771,.53443247,.051896863,.10142631,.34904742,.36995581,.35884151,.21569899,.47311333,.051588424,.74292839,.58703965,.22550654,.078072362,.27294421,.028390368,.29428941,.0049172998,.84087169,.15728597,.0018423434
05,051,05051,.53039593,.13083237,.50310963,.77467597,.34730789,.092791013,.32782853,3.4118061,.64891368,.42776442,.10619469,.025946407,.43294615,.094041258,.12855209,.1242236,9623,.086400673,.020618556,.032729398,.12239584,.4808023,.02852349,.12280702,.33961856,.36678335,.36644855,.17752808,.3812196,.079638518,.74592125,.51129627,.30290559,.060113728,.28488371,.050262358,.29145151,0,.96109438,.038489547,.0004161032
05,055,05055,.52339572,.18181819,.57637656,.86794174,.01663837,.12949882,.28476083,3.9977753,.6165576,.2953088,.090942033,.036463708,.086419754,.11103565,.29874215,.040358745,2992,.075530037,.018480493,.045275591,.18238214,.58641976,.125,0,.2652044,.27906978,.73333335,.14285715,.4170008,.042361423,.76570857,.50878775,.28227746,.046692606,.18360071,.038972542,.28423238,.018181818,.98654556,.01177262,.0016818029
