u_dpto,u_mpio,cod_mpio,uso_vivienda,uso_mixto,uso_lea,mean_hogares,par_ext_ina,piso_inadec,sin_ee,estrato_moda,sin_acueducto,sin_alcantar,sin_gas_nat,sin_rec_basuras,sin_internet,n_cuartos,n_personas,tot_hogares
05,001,05001,.98815751,.011842494,0,1.0221033,.0073359231,.0021742678,.0045906869,2.7709692,.012771592,.017436199,.2149719,.0078559117,.32686645,4.171273922042436,2.957057576035645,801975
05,002,05002,.98879999,.0112,0,1.024,.0052,.0016,.0076000001,1.8072,.017999999,.040399998,.41733548,.0132,.6320225,3.7708,2.7724,2560
05,004,05004,.99653977,.0034602077,0,1.0276817,.010380623,.020761246,.017301038,2,.020761246,.024221454,.83333331,.034602076,.75347221,3.41522491349481,2.449826989619377,297
05,021,05021,.99012345,.0098765437,0,1.0148149,.0049382718,.0061728396,.0074074073,2.062963,.0049382718,.013580247,.960199,.0098765437,.77114427,3.666666666666667,2.718518518518518,822
05,030,05030,.98246443,.017535545,0,1.0156398,.0021327015,.0018957346,.0049763033,1.9654028,.0099526066,.016587678,.20318441,.0066350712,.59244299,3.655687203791469,3.065876777251185,4286
05,031,05031,.97843808,.021561924,0,1.0362872,.028135682,.0073626083,.0049960557,2.11675,.023402577,.038127795,.41772151,.0084144101,.62921941,3.629503023928478,3.047856955035498,3941
05,034,05034,.98366815,.016331863,0,1.0223746,.0032663727,.0014698678,.0026130981,1.8244325,.014861995,.077902988,.73962945,.0096357996,.66322351,3.474767270945615,2.955903968642822,6260
05,036,05036,.94167852,.05832148,0,1.0056899,.025604552,.019914651,.0099573256,1.9815078,.0085348506,.066856332,.36571428,.0042674253,.51999998,3.342816500711237,2.790896159317212,707
05,038,05038,.97964072,.020359281,0,1.0383234,.0035928143,.0083832331,.0047904192,2.0359282,.020359281,.10538922,.98422331,.038323354,.72694176,3.967664670658682,2.837125748502994,867
05,040,05040,.98558557,.014414415,0,1.0346847,.02972973,.017117117,.036486488,1.8364865,.095495492,.21126126,.98813868,.012612613,.79060221,4.19009009009009,3.167117117117117,2297
05,042,05042,.98236728,.017632714,0,1.0665916,.013318326,.015944475,.012943163,1.8349278,.0071281185,.015569312,.49312487,.0071281185,.59954792,3.267867191896455,2.865878821984618,5686
05,044,05044,.98464912,.015350877,0,1.0197369,.0021929825,.0021929825,.0043859649,2.2719297,.0065789474,.019736841,.97797358,.0065789474,.86784142,2.655701754385965,2.587719298245614,465
05,045,05045,.97737479,.022625234,0,1.0453919,.060416445,.018877929,.0033584333,1.7478701,.028069431,.036553893,.41217539,.0056916606,.52814192,3.481882136670555,3.242867748435677,29571
05,051,05051,.93718952,.062810503,0,1.0841022,.20759404,.16110717,.0095812632,1.4198012,.027679205,.098296665,.42603129,.027679205,.84210527,3.65471965933286,3.411284599006387,3055
05,055,05055,.99009007,.0099099101,0,1.0144144,.021621622,.0027027028,.0099099101,1.1900901,.080180183,.14054054,.98176849,.02882883,.83956242,2.854954954954955,2.678378378378378,1126
05,059,05059,.95117188,.048828125,0,1.171875,.001953125,.00390625,.00390625,2.4316406,.005859375,.044921875,.96793586,.0078125,.8016032,5.26953125,2.654296875,600
05,079,05079,.98833978,.011660188,0,1.0079123,.0045807883,.0029150471,.0045807883,1.9697391,.044836201,.063714601,.21694301,.02040533,.47847289,3.691976679622432,2.980149916712937,7261
05,086,05086,.98993963,.010060363,0,1.0160966,.0040241447,0,.012072435,1.9899397,.020120725,.016096579,.22606924,.010060363,.57230145,3.621730382293763,3.223340040241449,505
05,088,05088,.98456198,.015437995,0,1.0428714,.014729211,.0050424933,.0083299018,2.2102394,.044099879,.045497194,.20722979,.02279585,.34561953,4.102314686683632,3.084203562821906,154492
05,091,05091,.99290782,.0070921984,0,1.0257093,.0079787234,.00088652479,.012411348,2.0496454,.0053191488,.020390071,.29006267,.013297873,.69829899,3.664007092198581,3.01418439716312,1157
05,093,05093,.9780764,.02192362,0,1.0084865,.0035360679,.0056577087,.021216407,1.7956153,.038189534,.12376238,.29420185,.020509195,.71725124,3.405940594059406,2.944130127298444,1426
05,101,05101,.97517437,.024825605,0,1.0240049,.0030775543,.0022568733,.0045137466,2.1169472,.0082068117,.11017644,.40809584,.0067706197,.64498138,3.688551497743127,2.972302010668855,4991
